Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
1999/09,4063822,1349490,825007,1051787,109268,82873,172626,116475,172018,69349,2007,190,3943,7613,78958,11503,10715,0,0
1999/10,3837967,1243873,801317,1031166,98099,75590,119182,121083,177309,70258,1925,224,3333,8205,67754,7610,11039,0,0
1999/11,4078512,1311407,848915,1097973,110082,82927,129407,121399,188327,73676,1974,274,2691,7930,80886,8075,12569,0,0
1999/12,3969554,1281751,813987,1087945,105783,80412,121131,120451,179555,68616,1333,89,2062,7483,77170,9856,11930,0,0
2000/01,3635344,1223331,721120,986420,96682,70949,107498,114465,161925,57450,942,120,2860,6959,64905,8657,11061,0,0
2000/02,4406726,1521917,876184,1120346,117115,101652,165657,115027,179263,71518,1802,188,3821,8814,101004,8079,14339,0,0
2000/03,3927552,1411902,787027,971355,108299,73930,123132,114926,170280,63846,1274,196,3317,8283,71426,7368,10991,0,0
2000/04,4188221,1608745,822079,939714,108051,84901,173915,117985,154872,60616,1700,225,4593,9339,84881,6050,10555,0,0
2000/05,4081739,1561255,790829,930026,107282,76790,168001,123549,153210,59278,1618,238,5170,8931,78207,7486,9869,0,0
2000/06,4111412,1652564,761019,904190,105412,80172,170099,118274,148262,55649,1354,188,5191,9237,83620,6371,9810,0,0
2000/07,4585909,1829453,841373,979429,109614,94049,240452,134881,152188,57890,2174,236,5189,9165,111112,8440,10264,0,0
2000/08,4147854,1763933,732149,859721,104734,86565,177190,114218,139466,50441,1695,229,5180,8712,84737,8444,10440,0,0
2000/09,3992972,1581136,735809,884610,103295,80180,163394,115345,149354,53733,1875,281,4275,8418,90546,8414,12307,0,0
2000/10,3921026,1596582,712479,865586,102906,76097,128014,112062,150206,53233,1770,228,3424,8146,89626,8444,12223,0,0
2000/11,3642376,1455460,667842,816583,125038,69963,107462,92035,140432,47499,1695,233,2424,6519,89990,7743,11458,0,0
2000/12,3765798,1475140,696507,852763,111424,81346,111827,106228,153409,52924,1414,227,2418,6873,90955,9055,13288,0,0
2001/01,3997279,1550866,726723,919722,112641,87973,147912,106843,151716,56671,2052,276,3428,7138,99980,7743,15595,0,0
2001/02,3491628,1403275,648891,771861,95335,70531,112556,93487,130523,43127,2090,245,2674,7009,89977,7485,12562,0,0
2001/03,3903473,1561420,730742,866870,110473,73201,128161,110226,150715,48703,2306,273,3074,7663,89057,7235,13354,0,0
2001/04,4154001,1658048,769395,900109,112003,82289,177422,107490,149289,50139,2245,236,4160,7204,113526,6799,13647,0,0
2001/05,4007913,1613563,731143,875475,100271,72636,166849,111593,143094,47360,1913,249,3809,6880,116206,6342,10530,0,0
2001/06,4117541,1702615,723384,883345,98529,83848,183095,107351,138987,42282,2029,245,5342,7242,121574,7507,10166,0,0
2001/07,4268912,1761460,751618,878145,100328,91870,222297,114299,135572,43613,2592,277,7261,7677,132468,8993,10442,0,0
2001/08,4498643,1781002,768895,976397,112074,105503,248360,126579,149914,48516,2431,234,8456,8397,140625,9441,11819,0,0
2001/09,3158197,1359296,533521,647316,103303,66154,124916,78498,101155,30654,1753,142,3449,6937,84150,8204,8749,0,0
2001/10,3566973,1348969,661809,807561,104909,76097,133204,100319,131734,41389,2412,253,4338,8070,124379,9674,11856,0,0
2001/11,3346936,1280544,605797,768273,96354,66755,115194,96294,129922,41861,2560,230,2773,5954,112307,10216,11902,0,0
2001/12,3572870,1439769,632686,797195,98591,71449,115355,93328,133139,42321,2226,225,3004,6048,112524,12789,12221,0,0
